"","UP/DOWN","statistic","p.value","FDRp.value"
"P-hsa04961-26","UP",17.2794363532023,1.8790874363319e-112,1.76258401527932e-109
"P-hsa04961-17","UP",17.2794363532023,1.8790874363319e-112,1.76258401527932e-109
"P-hsa04919-39","UP",20.7487461090668,1.2618211779299e-95,7.89058843265498e-93
"P-hsa04915-58","UP",20.1047352680161,6.725914042032e-90,3.15445368571301e-87
"P-hsa05205-103","UP",19.7366907231722,1.04673097346455e-86,3.92733461243899e-84
"P-hsa04917-57","UP",19.6574980603502,5.00044429716205e-86,1.563472250246e-83
"P-hsa04915-40","UP",19.4328056576993,4.08536227657354e-84,1.09487709012171e-81
"P-hsa04930-26","UP",18.0867988394299,4.05922957205136e-73,9.51889334646044e-71
"P-hsa04930-7","UP",18.070154957752,5.48930742216882e-73,1.14421563599874e-70
"P-hsa05010-37","UP",17.8693545788,2.04837113387084e-71,3.8427442471417e-69
"P-hsa04930-9","UP",17.7571426023268,1.5212567016402e-70,2.59443415661547e-68
"P-hsa05321-74","UP",17.6962045194095,4.49606413184182e-70,6.48816639333481e-68
"P-hsa05321-81","UP",17.6962045194095,4.49606413184182e-70,6.48816639333481e-68
"P-hsa04914-34","UP",17.6545948152149,9.4027690906584e-70,1.25997105814823e-67
"P-hsa04914-39","UP",17.5442619866731,6.59576900245944e-69,8.24910843240927e-67
"P-hsa04152-41","UP",17.4331238090178,4.63551221086706e-68,5.11542406328624e-66
"P-hsa04922-67","UP",17.4331238090178,4.63551221086706e-68,5.11542406328624e-66
"P-hsa04213-53","DOWN",-17.3053417496847,4.29729977967766e-67,4.47874132593071e-65
"P-hsa04012-8","UP",17.063468565947,2.78211863773432e-65,2.74697608652084e-63
"P-hsa04010-58","DOWN",-16.9815914060802,1.12653933534412e-64,1.05669389655278e-62
"P-hsa05200-194","UP",16.9681689208562,1.41591931405536e-64,1.26488792055612e-62
"P-hsa05169-45","UP",16.8460243053172,1.12464024174068e-63,9.59011406138869e-62
"P-hsa04261-62","UP",16.8164948378242,1.85191391174701e-63,1.51051760801625e-61
"P-hsa04911-41","UP",16.6943502222852,1.44403563692742e-62,1.12875452286494e-60
"P-hsa03320-63","DOWN",-16.6299222932097,4.24091275235007e-62,3.18238092936349e-60
"P-hsa04010-14","UP",16.5746216540865,1.06567705596037e-61,7.68926983454482e-60
"P-hsa04961-13","UP",16.5705949085193,1.13946452377996e-61,7.91716832078226e-60
"P-hsa04151-99","UP",16.2632199968882,1.80417974738801e-59,1.20880043074996e-57
"P-hsa04213-52","DOWN",-16.1236261505579,1.74466129001142e-58,1.12861537243498e-56
"P-hsa04213-55","DOWN",-16.1169149079459,1.94480120131452e-58,1.21614901788868e-56
"P-hsa05130-55","DOWN",-15.935174458012,3.61967678620117e-57,2.19048827448819e-55
"P-hsa05200-197","UP",15.8339689194225,1.8179591872521e-56,1.06577857352654e-54
"P-hsa04010-62","DOWN",-15.8277945762195,2.0054048982099e-56,1.14004229970963e-54
"P-hsa04370-15","DOWN",-15.7579976530543,6.06489349338263e-56,3.34639417458406e-54
"P-hsa05215-13","UP",15.6855162328443,1.90414134292486e-55,1.02061975980773e-53
"P-hsa04213-13","UP",15.6471279251035,3.48288310479255e-55,1.81496908460856e-53
"P-hsa04010-61","DOWN",-15.6433696292408,3.69469385182287e-55,1.87330963946478e-53
"P-hsa04012-47","DOWN",-15.6302155937212,4.54222664494316e-55,2.21732547617394e-53
"P-hsa04970-39","DOWN",-15.6292760197555,4.60957854854924e-55,2.21732547617394e-53
"P-hsa05200-168","DOWN",-15.6216252031778,5.19758602449022e-55,2.43766784548591e-53
"P-hsa04724-3","UP",15.6135717120433,5.89721926808592e-55,2.69833740169005e-53
"P-hsa04919-103","UP",15.3937114040731,1.80756850420768e-53,8.07380598546098e-52
"P-hsa05210-21","DOWN",-15.3636450371712,2.87570658287922e-53,1.25461059290266e-51
"P-hsa05168-106 134","DOWN",-15.3217668832721,5.48229506014629e-53,2.33745125746237e-51
"P-hsa04725-54","DOWN",-15.2914320666657,8.73910602732533e-53,3.64323620161385e-51
"P-hsa04913-40","UP",15.2820363270089,1.00950610610282e-52,4.11702925010628e-51
"P-hsa04530-7 52","UP",15.2750566346924,1.1236168637759e-52,4.4849047583906e-51
"P-hsa05205-434","DOWN",-15.2696876406028,1.22005749005008e-52,4.76839135694573e-51
"P-hsa04310-34","DOWN",-15.258681202719,1.44428705086466e-52,5.52955613759614e-51
"P-hsa04012-40","DOWN",-15.2361314275426,2.03990828348773e-52,7.65373587964596e-51
"P-hsa04724-52","DOWN",-15.2066019600496,3.20369028448646e-52,1.17845548503855e-50
"P-hsa04012-48","DOWN",-15.1821730369418,4.65097438344773e-52,1.67792845064384e-50
"P-hsa04666-42","DOWN",-15.1781462913746,4.94543957911371e-52,1.75049899064478e-50
"P-hsa04010-65","DOWN",-15.1440531789055,8.31100006695089e-52,2.8873029862222e-50
"P-hsa04914-15","UP",14.949695592861,1.56778420152054e-50,5.34756938555008e-49
"P-hsa04014-67","DOWN",-14.9142602318695,2.66747110855621e-50,8.93602821366331e-49
"P-hsa05210-31","UP",14.8788248708779,4.53283827536695e-50,1.49186045694533e-48
"P-hsa04213-61","DOWN",-14.8254033796862,1.00575967131145e-49,3.2531123161729e-48
"P-hsa04510-44","UP",14.7397679239566,3.58725156857827e-49,1.1406243970598e-47
"P-hsa04012-43","DOWN",-14.7362780777983,3.77746804711634e-49,1.18108834273171e-47
"P-hsa04924-31","UP",14.6795009653005,8.74003684130689e-49,2.68791952693307e-47
"P-hsa04010-68","DOWN",-14.5572221249093,5.26534377413193e-48,1.59319111617282e-46
"P-hsa05169-93","DOWN",-14.5255450597805,8.36393354221066e-48,2.49059354368051e-46
"P-hsa04010-63","DOWN",-14.5048744325354,1.13064733340665e-47,3.31420999604824e-46
"P-hsa04914-42","UP",14.4874252017442,1.45779815531682e-47,4.20742975288362e-46
"P-hsa04530-20 62","UP",14.4740027165201,1.77218074027772e-47,5.03728949812274e-46
"P-hsa05166-64","DOWN",-14.4350775093703,3.1190216286011e-47,8.73326056008309e-46
"P-hsa04630-7","UP",14.4119908347849,4.35834902947694e-47,1.20239158519099e-45
"P-hsa04932-28","DOWN",-14.4106485862625,4.44388493124398e-47,1.20822146826286e-45
"P-hsa04071-59 60","UP",14.4004474974922,5.15095101187875e-47,1.3804548711835e-45
"P-hsa05120-50","DOWN",-14.3859512134502,6.35235109199798e-47,1.67845220402651e-45
"P-hsa03320-65","DOWN",-14.381387568474,6.78545010973779e-47,1.76798672303723e-45
"P-hsa04725-18","DOWN",-14.3789715211337,7.02650851298485e-47,1.80571643429583e-45
"P-hsa04010-64","DOWN",-14.3489051542318,1.08442037423203e-46,2.749152191972e-45
"P-hsa05120-19","DOWN",-14.3392409648705,1.24649488410546e-46,3.11789920344246e-45
"P-hsa05020-62","DOWN",-14.317228089103,1.7113113358296e-46,4.22423692896885e-45
"P-hsa05215-22","DOWN",-14.2795109056234,2.94203228623965e-46,7.16786047920205e-45
"P-hsa04152-78","DOWN",-14.2675648937739,3.49209194696527e-46,8.39892883654724e-45
"P-hsa04010-67","DOWN",-14.2066268108567,8.35043110419594e-46,1.98296313309767e-44
"P-hsa04012-35","DOWN",-14.1851508344982,1.13438874393972e-45,2.63737341966599e-44
"P-hsa04110-59 15 16 17 18 19 20","DOWN",-14.1848823847937,1.13873799036751e-45,2.63737341966599e-44
"P-hsa03320-47","DOWN",-14.181124088931,1.20139869601835e-45,2.74856579723222e-44
"P-hsa04610-45","UP",14.1483732249842,1.9149269690749e-45,4.32819637829458e-44
"P-hsa04933-19","UP",14.1472994261663,1.94438635872972e-45,4.34246286782971e-44
"P-hsa03320-46","DOWN",-14.1341453906467,2.34397419817241e-45,4.94078156828253e-44
"P-hsa03320-57","DOWN",-14.1341453906467,2.34397419817241e-45,4.94078156828253e-44
"P-hsa03320-64","DOWN",-14.1341453906467,2.34397419817241e-45,4.94078156828253e-44
"P-hsa03320-33","DOWN",-14.1341453906467,2.34397419817241e-45,4.94078156828253e-44
"P-hsa03320-44","DOWN",-14.1341453906467,2.34397419817241e-45,4.94078156828253e-44
"P-hsa04066-88","UP",14.0452885384634,8.2488512079155e-45,1.71942720733883e-43
"P-hsa04932-31 133","DOWN",-14.0203227159466,1.17299747477159e-44,2.41817940952912e-43
"P-hsa04925-3","UP",14.0122692248122,1.31394681323365e-44,2.67930893655035e-43
"P-hsa04014-66","DOWN",-14.0023365857464,1.51114199549834e-44,3.04828213285472e-43
"P-hsa04530-20 37","UP",13.9771023135251,2.15473655123797e-44,4.30030401076855e-43
"P-hsa04726-10","UP",13.9295867158319,4.19559360168745e-44,8.28519325975332e-43
"P-hsa04664-47","UP",13.9043524436107,5.97157675291679e-44,1.16694562379916e-42
"P-hsa04151-110","UP",13.8791181713895,8.49394541530085e-44,1.6427465566087e-42
"P-hsa04115-18","UP",13.8732122778909,9.2232297532035e-44,1.76558969561324e-42
"P-hsa05205-144","UP",13.8584475441444,1.13305500194144e-43,2.14708200367893e-42
"P-hsa04931-67","UP",13.8397902896829,1.46902326734862e-43,2.75588764954601e-42
"P-hsa04218-37 38","DOWN",-13.8270389287201,1.75407316070033e-43,3.25806064304338e-42
"P-hsa04115-54","DOWN",-13.820864585517,1.91120835050163e-43,3.51512437798143e-42
"P-hsa04915-21","DOWN",-13.7977779109316,2.63319684035491e-43,4.79599735194738e-42
"P-hsa04360-51","DOWN",-13.763416348758,4.23839548361476e-43,7.6454133915974e-42
"P-hsa04913-21","UP",13.7210012954499,7.61492591805024e-43,1.33510289927685e-41
"P-hsa04913-12","UP",13.7210012954499,7.61492591805024e-43,1.33510289927685e-41
"P-hsa04913-22","UP",13.7210012954499,7.61492591805024e-43,1.33510289927685e-41
"P-hsa04012-21","DOWN",-13.6968408220466,1.06234643247157e-42,1.84533509936728e-41
"P-hsa04931-46","UP",13.6861028338674,1.2315501201365e-42,2.11962204162942e-41
"P-hsa05212-29","DOWN",-13.6383187864697,2.37397083815036e-42,4.04869935670007e-41
"P-hsa05166-39","DOWN",-13.5899978396631,4.59936657848914e-42,7.77334387499607e-41
"P-hsa04213-60","DOWN",-13.5776491532569,5.44424342356153e-42,9.11910773446556e-41
"P-hsa04115-56","UP",13.5478512360595,8.17328006631899e-42,1.35690915083313e-40
"P-hsa04360-82","DOWN",-13.5124158750679,1.3235490245291e-41,2.17805085089175e-40
"P-hsa04151-96","UP",13.5065099815694,1.43409494081592e-41,2.33944531214841e-40
"P-hsa04914-11","DOWN",-13.5000671886618,1.56518497353083e-41,2.53128190546883e-40
"P-hsa04510-47","UP",13.4869131531422,1.87097656420605e-41,2.99995900380388e-40
"P-hsa04152-62","DOWN",-13.4767120643719,2.14842899821214e-41,3.41563796664913e-40
"P-hsa04115-21","UP",13.4638264785568,2.55807186439417e-41,4.03272505680964e-40
"P-hsa04725-50","UP",13.439397555449,3.55962588454131e-41,5.56488179949958e-40
"P-hsa04750-53","DOWN",-13.4243643719981,4.36092641088013e-41,6.76123797257118e-40
"P-hsa04750-62","DOWN",-13.4206060761353,4.58731823338445e-41,7.05394180805674e-40
"P-hsa05205-304","UP",13.4136263838188,5.04081437823198e-41,7.68826648257171e-40
"P-hsa05231-17","UP",13.3901370346767,6.91780911871895e-41,1.04659757312232e-39
"P-hsa04014-68","DOWN",-13.3712113305108,8.92391610902986e-41,1.3393013296432e-39
"P-hsa04115-15","UP",13.3059780523218,2.14062622863451e-40,3.18715460707805e-39
"P-hsa04728-70 73","UP",13.2587309043331,4.02354513737591e-40,5.94344147851749e-39
"P-hsa05145-11","DOWN",-13.2520196617211,4.4000822343861e-40,6.44887052477212e-39
"P-hsa04115-64","UP",13.2259800403864,6.22331894007993e-40,9.05034599348058e-39
"P-hsa04012-22","DOWN",-13.195108324371,9.37871030717997e-40,1.35342004125151e-38
"P-hsa05321-138","DOWN",-13.1870548332366,1.04361855287045e-39,1.49452550014119e-38
"P-hsa04340-52","UP",13.1787328923976,1.16535342236384e-39,1.65621440935952e-38
"P-hsa04664-23","UP",13.1709478509677,1.29197793708114e-39,1.82236887967234e-38
"P-hsa04110-60 10 11 12 13 14 9","UP",13.1373916379075,2.01394664056341e-39,2.81952529678878e-38
"P-hsa05166-136 139","DOWN",-13.101419377507,3.237291782817e-39,4.49863658115903e-38
"P-hsa04115-49","UP",13.0853123952381,4.00220631216749e-39,5.52069047178398e-38
"P-hsa05142-49","UP",13.0775273538082,4.43386872915128e-39,6.07148739845825e-38
"P-hsa04917-68","UP",13.0767220046947,4.48108378313065e-39,6.09167621532833e-38
"P-hsa04923-43","UP",13.051219282769,6.26487257083554e-39,8.45532441934351e-38
"P-hsa05205-422","DOWN",-13.0179315194133,9.69266794227854e-39,1.29881750426532e-37
"P-hsa04520-4","UP",12.9637046791081,1.96866398527476e-38,2.61930045133011e-37
"P-hsa05200-225","DOWN",-12.9331014127972,2.93277937777692e-38,3.84747840049615e-37
"P-hsa05221-11","DOWN",-12.9331014127972,2.93277937777692e-38,3.84747840049615e-37
"P-hsa05321-83","DOWN",-12.9269270695942,3.17801268471778e-38,4.14024430314622e-37
"P-hsa04310-31","DOWN",-12.9210211760956,3.43162717332838e-38,4.43981557045796e-37
"P-hsa04151-103","UP",12.8976660518057,4.6474506783329e-38,5.97165580311816e-37
"P-hsa04360-18","DOWN",-12.8869280636264,5.34188130218113e-38,6.81725804278354e-37
"P-hsa05161-97","UP",12.8863911642175,5.37919018112509e-38,6.81848701337207e-37
"P-hsa05200-183","UP",12.8796799216054,5.86799472079844e-38,7.38815979611938e-37
"P-hsa03320-56","DOWN",-12.8595461937693,7.61537823771797e-38,9.52429971597261e-37
"P-hsa04012-56","DOWN",-12.8488082055901,8.74972066755262e-38,1.08705138889594e-36
"P-hsa04728-68","UP",12.8294798268674,1.12308755015994e-37,1.38612647638161e-36
"P-hsa04610-52","DOWN",-12.8015610576014,1.60966200812927e-37,1.97367707663432e-36
"P-hsa05200-189","DOWN",-12.7994134599655,1.65479977619145e-37,2.01584700008776e-36
"P-hsa05211-22","DOWN",-12.7886754717863,1.90006904820072e-37,2.29969647382229e-36
"P-hsa04066-37","UP",12.771226240995,2.37794659707137e-37,2.8596332154525e-36
"P-hsa04917-71","UP",12.7693470930636,2.43605455841633e-37,2.91085245324142e-36
"P-hsa05152-51","DOWN",-12.7196838977346,4.60506481921269e-37,5.46778582331835e-36
"P-hsa04530-8","UP",12.6595511639307,9.92336175321088e-37,1.17083186471847e-35
"P-hsa05200-203","DOWN",-12.6549875189546,1.05171852902928e-36,1.23313997528683e-35
"P-hsa04726-39","UP",12.6235789035302,1.56809034311259e-36,1.82716613893119e-35
"P-hsa05020-24","DOWN",-12.6078745958181,1.91397345313494e-36,2.17612981701888e-35
"P-hsa05020-26","DOWN",-12.6078745958181,1.91397345313494e-36,2.17612981701888e-35
"P-hsa05020-25 8","DOWN",-12.6078745958181,1.91397345313494e-36,2.17612981701888e-35
"P-hsa05020-10 34","DOWN",-12.6078745958181,1.91397345313494e-36,2.17612981701888e-35
"P-hsa05152-81","DOWN",-12.606129672739,1.95686182405888e-36,2.19824717481105e-35
"P-hsa05152-129","DOWN",-12.606129672739,1.95686182405888e-36,2.19824717481105e-35
"P-hsa04530-11 62","UP",12.5937809863328,2.28851105744992e-36,2.55550401415241e-35
"P-hsa04012-23","UP",12.5398225957321,4.52772503599094e-36,5.02604270267397e-35
"P-hsa04014-62","DOWN",-12.5234471637587,5.56623540712822e-36,6.10658340571494e-35
"P-hsa05132-20","DOWN",-12.5237156134632,5.54743616929175e-36,6.10658340571494e-35
"P-hsa04932-138","UP",12.5003604891733,7.44391151246394e-36,8.11905697522229e-35
"P-hsa04664-3 4 5","UP",12.4968706430151,7.77765226752693e-36,8.43403216987313e-35
"P-hsa05200-187","UP",12.4807636607462,9.52308331183325e-36,1.02674162603443e-34
"P-hsa03320-21","DOWN",-12.4630459802504,1.1894694230069e-35,1.27511122146339e-34
"P-hsa04115-55","UP",12.4614352820235,1.21374142021383e-35,1.28642875950347e-34
"P-hsa04115-23","UP",12.4614352820235,1.21374142021383e-35,1.28642875950347e-34
"P-hsa04650-35","DOWN",-12.4257314713275,1.89803586011714e-35,2.00040183908975e-34
"P-hsa04730-7","UP",12.4243892228051,1.93016135841142e-35,2.02289536780996e-34
"P-hsa05016-22 9","UP",12.4072084417183,2.39236118407347e-35,2.49337198962323e-34
"P-hsa04360-114","UP",12.3886854121091,3.0144008666147e-35,3.12431824628131e-34
"P-hsa04662-35","DOWN",-12.3766051754074,3.50415012738027e-35,3.61197013129966e-34
"P-hsa04110-10 11 12 13 14 9 15 16 17 18 19 20","DOWN",-12.3388879919278,5.60149412822515e-35,5.74229671286906e-34
"P-hsa04014-76","DOWN",-12.3296264771232,6.28414475668021e-35,6.40709541496308e-34
"P-hsa04919-102","UP",12.3269419800784,6.49699404960616e-35,6.58830315516819e-34
"P-hsa04014-64","DOWN",-12.2971440628809,9.39895186666246e-35,9.47980306551547e-34
"P-hsa04310-32","DOWN",-12.2772787847493,1.20164964068127e-34,1.2055052010257e-33
"P-hsa04012-57","DOWN",-12.2617087018894,1.45642230687521e-34,1.45332353600952e-33
"P-hsa04115-17","UP",12.2563397077998,1.55617857589187e-34,1.54465132718156e-33
"P-hsa04066-30","DOWN",-12.2265417906024,2.24656274660928e-34,2.21818511191527e-33
"P-hsa05014-2","UP",12.2026497669035,3.01367494361124e-34,2.96002837393439e-33
"P-hsa04921-67","DOWN",-12.1857374355212,3.70898811471207e-34,3.62399047041658e-33
"P-hsa04360-33 134","DOWN",-12.1852005361122,3.73349532666781e-34,3.6290348356626e-33
"P-hsa04014-35","UP",12.1653352579806,4.76271373108125e-34,4.60559327809713e-33
"P-hsa04713-14","DOWN",-12.1478860271893,5.8964788408224e-34,5.67271502840145e-33
"P-hsa05134-73","DOWN",-12.145469979849,6.07327677062435e-34,5.81299348045474e-33
"P-hsa04012-29","DOWN",-12.1438592816221,6.19405741221005e-34,5.89850340370866e-33
"P-hsa05211-49","DOWN",-12.1325843940339,7.10900725409404e-34,6.7356048528689e-33
"P-hsa04972-18","DOWN",-12.1127191159023,9.05934588953763e-34,8.54036828581537e-33
"P-hsa04913-45","UP",12.1054709738813,9.89624176035423e-34,9.28267477121226e-33
"P-hsa05110-46","DOWN",-12.0622505714598,1.67424589307543e-33,1.56262950020373e-32
"P-hsa04728-74","UP",12.0260098613548,2.59818914966601e-33,2.41297170533338e-32
"P-hsa05200-198","UP",12.0211777666741,2.75470326366078e-33,2.54572577469341e-32
"P-hsa04071-57","DOWN",-11.9983595417932,3.62996419416831e-33,3.33814354326459e-32
"P-hsa04919-30","UP",11.9903060506588,4.0007441414888e-33,3.66116878508926e-32
"P-hsa04010-13","DOWN",-11.9672193760734,5.28529494919211e-33,4.81321035178854e-32
"P-hsa04662-29","DOWN",-11.9618503819838,5.63844269215992e-33,5.11000893260484e-32
"P-hsa05212-34","DOWN",-11.9613134825748,5.67502110566524e-33,5.11843249722499e-32
"P-hsa05223-14","UP",11.9537968908493,6.21256246782739e-33,5.5764436314087e-32
"P-hsa05205-121","DOWN",-11.9307102162639,8.20041101869241e-33,7.32570051003189e-32
"P-hsa05214-35","DOWN",-11.9065497428606,1.09587731145118e-32,9.74343998238108e-32
"P-hsa05212-32","DOWN",-11.8641346895526,1.82063778919531e-32,1.61109268515585e-31
"P-hsa04921-59","UP",11.8327260741282,2.64835809511969e-32,2.33254450067818e-31
"P-hsa04213-71","UP",11.7838682279126,4.73480991444326e-32,4.15070252312876e-31
"P-hsa03320-26","DOWN",-11.7331312337657,8.63462605262298e-32,7.53421324405614e-31
"P-hsa04915-66","DOWN",-11.7218563461775,9.86460387928475e-32,8.56759114700842e-31
"P-hsa05200-212","UP",11.7154135532699,1.06439847894407e-31,9.20189652764548e-31
"P-hsa05110-50","DOWN",-11.7062862633175,1.1853823162088e-31,1.02008129596684e-30
"P-hsa05166-120","DOWN",-11.7009172692279,1.26282779287677e-31,1.08176481252823e-30
"P-hsa04510-19 26","DOWN",-11.6885685828218,1.46054195096131e-31,1.24544395454701e-30
"P-hsa05217-5","UP",11.6764883461201,1.6836315247593e-31,1.42918223549703e-30
"P-hsa04110-96 97","DOWN",-11.6262882513821,3.03464499035695e-31,2.56441171257191e-30
"P-hsa04924-52","DOWN",-11.613939564976,3.50655282767341e-31,2.94990722184543e-30
"P-hsa05200-96","DOWN",-11.5951480856623,4.36794922513331e-31,3.65815747604915e-30
"P-hsa04924-47","UP",11.5860207957099,4.8591289215283e-31,4.05143371412759e-30
"P-hsa04115-40","UP",11.5731352098948,5.647222836713e-31,4.66704407122184e-30
"P-hsa04115-31","UP",11.5731352098948,5.647222836713e-31,4.66704407122184e-30
"P-hsa05166-65","DOWN",-11.4901842512101,1.48026184600075e-30,1.21796983469185e-29
"P-hsa04668-38","DOWN",-11.4609232334216,2.0761474812992e-30,1.70080902834817e-29
"P-hsa04650-36","DOWN",-11.4526012925827,2.28546865117101e-30,1.86414747373775e-29
"P-hsa04670-35","DOWN",-11.4485745470155,2.39414377642605e-30,1.94433494570358e-29
"P-hsa05200-184","UP",11.4415948546989,2.59479825381229e-30,2.09820755351373e-29
"P-hsa04350-41","UP",11.4238771742032,3.182270231505e-30,2.56220555978686e-29
"P-hsa03320-20","DOWN",-11.4155552333642,3.50204088812866e-30,2.80761910518349e-29
"P-hsa04970-28","DOWN",-11.4001193753566,4.18183621538681e-30,3.33835095321943e-29
"P-hsa04218-36 38","DOWN",-11.3973006534595,4.31950018955962e-30,3.4336365913618e-29
"P-hsa05145-4 5","DOWN",-11.3868311149847,4.87106865769829e-30,3.8557488615367e-29
"P-hsa04520-17","DOWN",-11.3744824285786,5.61205399047223e-30,4.42361902778399e-29
"P-hsa04115-50","UP",11.3634759906949,6.36618863311707e-30,4.99705852540905e-29
"P-hsa05016-48","UP",11.3505904048798,7.3776776859099e-30,5.74295574222696e-29
"P-hsa05016-46","UP",11.3505904048798,7.3776776859099e-30,5.74295574222696e-29
"P-hsa04670-86","DOWN",-11.3108598486165,1.16125158415527e-29,9.00209905733586e-29
"P-hsa04210-4","UP",11.303343256891,1.26508965465495e-29,9.76670037914687e-29
"P-hsa03320-22","DOWN",-11.2856255763953,1.54774296575019e-29,1.18998598514236e-28
"P-hsa04930-15","UP",11.2509955645172,2.29341380877853e-29,1.75609971643613e-28
"P-hsa04115-3","UP",11.2445527716096,2.46717004790251e-29,1.88146789018907e-28
"P-hsa04360-81","DOWN",-11.2389153278155,2.62988335199264e-29,1.99743367139198e-28
"P-hsa04360-101 103","DOWN",-11.217976250866,3.33301828355218e-29,2.52126705642899e-28
"P-hsa04724-5 71","UP",11.1974398484732,3.53702483579387e-29,2.66484280801177e-28
"P-hsa04014-65","DOWN",-11.2005270200747,4.05929646661705e-29,3.04609606854943e-28
"P-hsa04210-50","UP",11.1865676354417,4.75164457406206e-29,3.55142837487666e-28
"P-hsa04110-48","DOWN",-11.1790510437162,5.17173492439531e-29,3.8500693326054e-28
"P-hsa04530-22 33","UP",11.1492531265188,7.2318912443811e-29,5.36246164998377e-28
"P-hsa04970-27","DOWN",-11.1441525821336,7.65841203262549e-29,5.6563704618919e-28
"P-hsa05205-431","DOWN",-11.1189183099124,1.01647841675002e-28,7.47809219538446e-28
"P-hsa05014-5","DOWN",-11.1012006294166,1.23955957656303e-28,9.08364752200095e-28
"P-hsa04152-38","DOWN",-11.0123437772333,3.33717398384286e-28,2.43600715707751e-27
"P-hsa04068-39","DOWN",-11.0118068778243,3.35712389617311e-28,2.44107148419409e-27
"P-hsa04530-14 20 43","UP",10.9994581914182,3.85007378243825e-28,2.78870209106338e-27
"P-hsa04924-23","UP",10.9795929132866,4.79790103589223e-28,3.46187013205147e-27
"P-hsa05217-10","DOWN",-10.9777137653552,4.89862264341347e-28,3.52100232913551e-27
"P-hsa04920-37","UP",10.9642912801311,5.68276259251145e-28,4.06903153570667e-27
"P-hsa04020-18","DOWN",-10.9377147593875,7.62052007194055e-28,5.39475307734357e-27
"P-hsa04020-17","DOWN",-10.9377147593875,7.62052007194055e-28,5.39475307734357e-27
"P-hsa04020-15","DOWN",-10.9377147593875,7.62052007194055e-28,5.39475307734357e-27
"P-hsa04210-107","UP",10.9355671617516,7.80326248838067e-28,5.50335354443689e-27
"P-hsa04115-16","UP",10.9304666173665,8.25455031203934e-28,5.79982636156772e-27
"P-hsa03460-7","UP",10.9216077771186,9.10071692301803e-28,6.37050184611262e-27
"P-hsa04012-24","DOWN",-10.9060376942587,1.08014877178713e-27,7.53293344190576e-27
"P-hsa05212-27","DOWN",-10.8869777652405,1.33176321901745e-27,9.25328814398789e-27
"P-hsa04068-53","DOWN",-10.8405359663652,2.21496234663206e-27,1.53330972777924e-26
"P-hsa04064-54","DOWN",-10.8265765817322,2.57984876784789e-27,1.77933687076568e-26
"P-hsa04550-53 64","UP",10.8222813864605,2.70367929993671e-27,1.8579129548283e-26
"P-hsa04917-44","UP",10.8155701438485,2.90906359981711e-27,1.99175303403536e-26
"P-hsa04152-61","UP",10.7959733154213,3.60157492606133e-27,2.45692893137857e-26
"P-hsa04012-31","DOWN",-10.7897989722183,3.85192121377657e-27,2.61818992646552e-26
"P-hsa04530-30","DOWN",-10.714901504668,8.67752183401882e-27,5.87690648397809e-26
"P-hsa04012-25","DOWN",-10.7060426644201,9.54894289698508e-27,6.42072289417348e-26
"P-hsa04972-39","UP",10.7063111141246,9.52130355947132e-27,6.42072289417348e-26
"P-hsa04064-96","DOWN",-10.6601377649538,1.5659148328918e-26,1.04916293803751e-25
"P-hsa05221-5","DOWN",-10.6579901673179,1.60249114900706e-26,1.06984818346521e-25
"P-hsa04931-61","UP",10.6566479187955,1.62578015959697e-26,1.08154736858295e-25
"P-hsa04914-30","DOWN",-10.6193334098726,2.42630486417702e-26,1.60839149300215e-25
"P-hsa04540-14 16","UP",10.5889985932662,3.35638926485592e-26,2.20932851258586e-25
"P-hsa04540-14 15","UP",10.5889985932662,3.35638926485592e-26,2.20932851258586e-25
"P-hsa04340-13","UP",10.5739654098153,3.94060208892287e-26,2.58481451706969e-25
"P-hsa04670-10","DOWN",-10.5694017648391,4.13713125666555e-26,2.70427116289358e-25
"P-hsa03320-66","DOWN",-10.5554423802061,4.80061762831341e-26,3.12706898288748e-25
"P-hsa04725-64","UP",10.5390669482327,5.71437023984426e-26,3.70939742904769e-25
"P-hsa05164-90","DOWN",-10.5382615991192,5.76350844445747e-26,3.72620064171448e-25
"P-hsa05200-188","UP",10.5379931494148,5.77998073954645e-26,3.72620064171448e-25
"P-hsa05034-61","UP",10.5277920606445,6.44173389785858e-26,4.12446852982345e-25
"P-hsa05034-62","UP",10.5277920606445,6.44173389785858e-26,4.12446852982345e-25
"P-hsa03460-16 34","UP",10.5221546168504,6.83910792423985e-26,4.36400219927686e-25
"P-hsa04723-9","DOWN",-10.5107455044099,7.71902092586378e-26,4.87571826832338e-25
"P-hsa04725-20","DOWN",-10.5107455044099,7.71902092586378e-26,4.87571826832338e-25
"P-hsa04726-18","DOWN",-10.5107455044099,7.71902092586378e-26,4.87571826832338e-25
"P-hsa04390-13","DOWN",-10.5044369363546,8.25304501474829e-26,5.19554108982141e-25
"P-hsa04970-18","UP",10.4834978594051,1.03013409841312e-25,6.46331628302011e-25
"P-hsa04340-20 22","UP",10.4808133623602,1.05979933529342e-25,6.62727851003486e-25
"P-hsa04742-34","UP",10.469538474772,1.1939200803921e-25,7.44117631500195e-25
"P-hsa03460-16 49","UP",10.4679277765451,1.21440592219936e-25,7.54379307962253e-25
"P-hsa05152-77","DOWN",-10.4598742854107,1.32217889768808e-25,8.18616373618099e-25
"P-hsa03320-37","UP",10.4461833504821,1.52756930740763e-25,9.42671059439707e-25
